,algorithm,age,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,aged,253.2,0.4338363790102437,0.5820913708653357,0.5128139705979462,0.7648983890165764,0.23510161098342355,0.48718602940205374
1,Unmitigated-LR,young,46.8,0.2811700494118847,0.5637769020343469,0.35950555581806487,0.8543313411734464,0.14566865882655358,0.6404944441819352
2,Massaging,aged,253.2,0.2526436881760531,0.46131678694963896,0.3025745060090217,0.8733548170887422,0.12664518291125762,0.6974254939909782
3,Massaging,young,46.8,0.22158919164788368,0.5322035866322772,0.27898394306117863,0.8719536019536018,0.12804639804639806,0.7210160569388214
4,Pref. Sampling,aged,253.2,0.15749199348677045,0.39680351635975475,0.1897504458878052,0.9245959993602367,0.07540400063976305,0.8102495541121948
5,Pref. Sampling,young,46.8,0.16562352605291059,0.5141047788172054,0.23124739071295028,0.9356159629843841,0.06438403701561597,0.7687526092870498
6,Reweighing,aged,253.2,0.4167714605432059,0.5729533060037476,0.49446498171741726,0.7789973216550069,0.22100267834499307,0.5055350182825827
7,Reweighing,young,46.8,0.3762875711365382,0.5806223060996203,0.4497303834876682,0.7474863440652915,0.2525136559347086,0.5502696165123319
8,Corr. Remover,aged,253.2,0.550741253557968,0.6724602498105049,0.6557040885298646,0.7164323181071496,0.28356768189285025,0.3442959114701353
9,Corr. Remover,young,46.8,0.5408533440570971,0.6343191629977554,0.6454250596710819,0.6214356403830088,0.37856435961699114,0.3545749403289181
10,DI Remover,aged,253.2,0.6874409005683335,0.6769241721103979,0.7547770272445149,0.4852932615455579,0.5147067384544421,0.2452229727554851
11,DI Remover,young,46.8,0.6418571205574357,0.6273153476532632,0.7155393224838441,0.47756410256410264,0.5224358974358974,0.2844606775161558
12,Grid Search DP,aged,253.2,0.4568016553170806,0.6042818683376009,0.5434803684572916,0.762568098534112,0.23743190146588797,0.4565196315427083
13,Grid Search DP,young,46.8,0.4336863576552162,0.60928719425953,0.5280168093964522,0.7182677848467321,0.28173221515326774,0.4719831906035477
14,Grid Search EO,aged,253.2,0.4639343479771207,0.6074797578965457,0.5509537218718814,0.7560629852898684,0.24393701471013168,0.44904627812811865
15,Grid Search EO,young,46.8,0.403574129304734,0.6172248176159956,0.5064849295379594,0.763988175567123,0.23601182443287705,0.4935150704620404
16,Exp. Grad. DP,aged,253.2,0.5954012108885877,0.6406185038198227,0.6646557829938177,0.5787773964825405,0.4212226035174596,0.33534421700618233
17,Exp. Grad. DP,young,46.8,0.5784206967659017,0.5747135862996524,0.6229870525848544,0.4972787738577213,0.5027212261422788,0.37701294741514546
18,Exp. Grad. EO,aged,253.2,0.7383177024131137,0.6660813262803295,0.7820716829778648,0.3723273125799152,0.6276726874200849,0.21792831702213533
19,Exp. Grad. EO,young,46.8,0.7286482862343345,0.5843723012749604,0.7587614398908953,0.31690379795642953,0.6830962020435705,0.24123856010910463
20,DI Score,,253.2,0.6592035434978636,0.7429186042716049,0.7801478850924719,0.6495356239324396,0.3504643760675603,0.2198521149075281
21,DI Score,,46.8,0.7125509964078878,0.6755303383002123,0.8205779150058724,0.4543483709273183,0.5456516290726817,0.17942208499412762
22,Equal. Oppor. DP,,253.2,0.7771969408748788,0.7183788705502587,0.8443520344874275,0.3904366912940091,0.6095633087059908,0.1556479655125726
23,Equal. Oppor. DP,,46.8,0.8005726673334669,0.5903229223827506,0.832799224209638,0.25172064777327935,0.7482793522267206,0.16720077579036202
24,Equal. Oppor. EO,,253.2,1.0,0.7180015141081431,1.0,0.0,1.0,0.0
25,Equal. Oppor. EO,,46.8,1.0,0.6006766214125336,1.0,0.0,1.0,0.0
