,algorithm,sex,Count,Selection_rate,Accuracy,TPR,TNR,FPR,FNR
0,Unmitigated-LR,female,91.2,0.4175324248363978,0.6120198978030393,0.5250037509061521,0.7853185823163431,0.21468141768365703,0.47499624909384786
1,Unmitigated-LR,male,208.8,0.5046947128911516,0.620607005726731,0.5861767754750092,0.7046448733321069,0.295355126667893,0.41382322452499076
2,Massaging,female,91.2,0.43847499306609555,0.5704437525676299,0.5040052938808864,0.6896239618192739,0.3103760381807261,0.49599470611911356
3,Massaging,male,208.8,0.49000447490249305,0.5788341232157999,0.5497869041269546,0.6605822462259343,0.33941775377406574,0.45021309587304537
4,Pref. Sampling,female,91.2,0.4206878903089645,0.5782524414990365,0.5004503181781816,0.7308144116801761,0.26918558831982375,0.4995496818218183
5,Pref. Sampling,male,208.8,0.4457669290526045,0.5820708341385883,0.518804344512827,0.7421571568473284,0.25784284315267164,0.481195655487173
6,Reweighing,female,91.2,0.442819442527602,0.6151115692002256,0.5464451352038854,0.7525960286371708,0.24740397136282916,0.45355486479611457
7,Reweighing,male,208.8,0.49842594122785605,0.6172231168127956,0.5794837711851998,0.7097627414903488,0.29023725850965115,0.4205162288148002
8,Corr. Remover,female,91.2,0.5649725457597705,0.6826998055031329,0.6893606028345067,0.6701679516167471,0.329832048383253,0.31063939716549316
9,Corr. Remover,male,208.8,0.5816663598813729,0.6720508016798457,0.6763189796252818,0.6603515691104425,0.3396484308895576,0.32368102037471824
10,DI Remover,female,91.2,0.4306755066409643,0.6207429551875814,0.5415620541385315,0.7789408098755839,0.2210591901244161,0.4584379458614685
11,DI Remover,male,208.8,0.5003723559893525,0.6201645551675594,0.5828684953394936,0.7116010247446865,0.2883989752553136,0.4171315046605063
12,Grid Search DP,female,91.2,0.5364925817859698,0.6620465545073484,0.6520229472223754,0.6814268493582863,0.31857315064171365,0.3479770527776246
13,Grid Search DP,male,208.8,0.638972767711947,0.697842855491807,0.734268643789274,0.6045569845817973,0.3954430154182026,0.26573135621072586
14,Grid Search EO,female,91.2,0.5200819933025087,0.6697116232775479,0.645410925364452,0.7171054746920841,0.2828945253079159,0.35458907463554806
15,Grid Search EO,male,208.8,0.6111319812048696,0.6945577727624814,0.7126143452120486,0.6480669891012927,0.3519330108987071,0.2873856547879515
16,Exp. Grad. DP,female,91.2,0.5024907775756141,0.6156206939889641,0.5931911261871645,0.6657631836927911,0.33423681630720886,0.4068088738128354
17,Exp. Grad. DP,male,208.8,0.5530184355504795,0.635460354114877,0.6299135051183437,0.6448178151443931,0.35518218485560693,0.37008649488165635
18,Exp. Grad. EO,female,91.2,0.5651405730300189,0.6193115561728848,0.6426172387530381,0.5813342005865497,0.4186657994134503,0.3573827612469619
19,Exp. Grad. EO,male,208.8,0.6029746527070563,0.6614246387882716,0.6829141943932264,0.6022635614758503,0.3977364385241498,0.3170858056067735
20,DI Score,,91.2,0.6492752584982615,0.7365471079864637,0.7935613995331299,0.6259259132363386,0.37407408676366144,0.20643860046687
21,DI Score,,208.8,0.646792610220928,0.7361992996150568,0.7662054982858506,0.6582646698343335,0.3417353301656665,0.2337945017141494
22,Equal. Oppor. DP,,91.2,0.7452947677207842,0.6905132009894754,0.8299992829549426,0.41124068498047633,0.5887593150195237,0.17000071704505731
23,Equal. Oppor. DP,,208.8,0.753153407837365,0.7103087298989481,0.823093642910333,0.42796273081735015,0.5720372691826499,0.17690635708966704
24,Equal. Oppor. EO,,91.2,0.7651770380067848,0.671085150202468,0.830501658574107,0.3555274068475872,0.6444725931524129,0.16949834142589298
25,Equal. Oppor. EO,,208.8,0.7880517404510642,0.7088306568954722,0.8462608087628654,0.3624182662075498,0.6375817337924501,0.1537391912371345
